run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-ea3ce51d81,sbm,M0_mlp,train,none,1,0,0.0,,,,16,0.278,0.265642,1.837748,0.825275,0.271,0.253415,1.822019,0.819812,0.057838,0.153949,0.207292,,,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,0.01,0.0005,64,0.5,0.446,,results/logits/M0_mlp-ea3ce51d81.npz,4225688,9f9bb01aee1b,
M1_gcn-6139c398b8,sbm,M1_gcn,train,none,1,0,0.0,,,,58,0.9,0.899354,0.688392,0.309006,0.892,0.891419,0.689859,0.310228,0.330393,0.332241,0.652961,,,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,0.005,0.001,64,0.5,3.375,,results/logits/M1_gcn-6139c398b8.npz,4225688,9f9bb01aee1b,
LP-224144f408,sbm,LP,closed_form,label_prop,1,0,,,,,,0.178,0.064464,1.959627,0.85956,0.157,0.069967,1.992632,0.8626,0.215396,0.155165,0.966765,,,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,,,,,,,,4225688,9f9bb01aee1b,uses train labels as inference-time evidence
M2_lap-014b487de3,sbm,M2_lap,train,none,1,0,0.001,,,,58,0.9,0.899354,0.688557,0.309096,0.892,0.891419,0.690012,0.31031,0.330476,0.332171,0.652961,,,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,0.005,0.001,64,0.5,3.937,,,4225688,9f9bb01aee1b,
M2_lap-7c495fc863,sbm,M2_lap,train,none,1,0,0.01,,,,58,0.9,0.899354,0.689995,0.309842,0.892,0.891419,0.691456,0.31106,0.331254,0.331559,0.65314,,,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,0.005,0.001,64,0.5,3.903,,,4225688,9f9bb01aee1b,
M2_lap-2fab4b0667,sbm,M2_lap,train,none,1,0,0.1,,,,56,0.896,0.895246,0.721112,0.325786,0.887,0.886235,0.723149,0.327382,0.343577,0.318717,0.651617,,,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,0.005,0.001,64,0.5,3.96,,,4225688,9f9bb01aee1b,
M2_lap-5909017bac,sbm,M2_lap,train,none,1,0,0.5,,,,58,0.882,0.882661,0.774043,0.354565,0.878,0.877125,0.774792,0.355331,0.360268,0.299325,0.639165,,,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,0.005,0.001,64,0.5,4.392,,,4225688,9f9bb01aee1b,
M2_lap-505baa8ea6,sbm,M2_lap,train,none,1,0,1.0,,,,47,0.868,0.866651,0.901047,0.418556,0.863,0.861911,0.903276,0.42075,0.410492,0.256354,0.635492,,,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,0.005,0.001,64,0.5,3.917,,,4225688,9f9bb01aee1b,
M2_lap-201ebcc83d,sbm,M2_lap,train,none,1,0,5.0,,,,35,0.834,0.831723,1.200821,0.566439,0.842,0.83879,1.199002,0.566746,0.512963,0.188871,0.619547,,,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,0.005,0.001,64,0.5,3.244,,,4225688,9f9bb01aee1b,
M4_mrf_gcn-f435abb499,sbm,M4_mrf_gcn,tuned_grid,mf,1,0,,0.05,,0,,0.898,0.897177,0.643279,0.285652,0.896,0.895344,0.64445,0.286516,0.308522,0.355043,0.658783,1,5,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,,,,,,0.1499,,4225688,9f9bb01aee1b,flip=0.0060
M4_mrf_mlp-c29436b526,sbm,M4_mrf_mlp,tuned_grid,mf,1,0,,0.05,,0,,0.282,0.267142,1.828848,0.822079,0.277,0.256479,1.813586,0.816842,0.046241,0.156238,0.221535,1,5,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,,,,,,0.0404,,4225688,9f9bb01aee1b,flip=0.0250
M4_mrf_gcn-16091b8b4a,sbm,M4_mrf_gcn,tuned_grid,mf,1,0,,0.1,,0,,0.9,0.898966,0.596168,0.261571,0.906,0.905255,0.596892,0.262019,0.290567,0.380368,0.663531,1,6,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,,,,,,0.0754,,4225688,9f9bb01aee1b,flip=0.0170
M4_mrf_mlp-a70169fec7,sbm,M4_mrf_mlp,tuned_grid,mf,1,0,,0.1,,0,,0.284,0.264399,1.819708,0.818657,0.274,0.253113,1.804976,0.813705,0.052076,0.159002,0.237212,1,6,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,,,,,,0.1031,,4225688,9f9bb01aee1b,flip=0.0500
M4_mrf_gcn-864192e93e,sbm,M4_mrf_gcn,tuned_grid,mf,1,0,,0.25,,0,,0.918,0.917375,0.450901,0.189771,0.928,0.927725,0.449211,0.188707,0.221395,0.466723,0.678223,1,10,,,,,0.7,0.70169,0.65197,0.4129,0.5,2.64156,,,,,,0.1002,,4225688,9f9bb01aee1b,flip=0.0420
