run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-d41b5f5312,citeseer,M0_mlp,train,none,5,0,0.0,,,,24,0.406,0.381276,1.718834,0.807917,0.382,0.365707,1.718459,0.807518,0.191367,0.167937,0.364235,,,,,,,,,,,,,0.01,0.001,64,0.5,1.923,,results/logits/M0_mlp-d41b5f5312.npz,4225688,9f9bb01aee1b,
M1_gcn-a696294b89,citeseer,M1_gcn,train,none,5,0,0.0,,,,157,0.636,0.596287,1.254589,0.602246,0.606,0.56791,1.28581,0.615422,0.212679,0.301745,0.846441,,,,,,,,,,,,,0.01,0.0005,64,0.5,6.352,,results/logits/M1_gcn-a696294b89.npz,4225688,9f9bb01aee1b,
LP-2b099a58e7,citeseer,LP,closed_form,label_prop,5,0,,,,,,0.384,0.310752,1.873832,0.69595,0.352,0.304624,2.040089,0.732928,0.122048,0.293228,0.9721,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,uses train labels as inference-time evidence
M2_lap-7d4598f35c,citeseer,M2_lap,train,none,5,0,0.001,,,,145,0.636,0.581611,1.254237,0.599802,0.615,0.565211,1.277186,0.609726,0.224842,0.295436,0.847979,,,,,,,,,,,,,0.01,0.0005,64,0.5,7.581,,,4225688,9f9bb01aee1b,
M2_lap-e23a953e35,citeseer,M2_lap,train,none,5,0,0.01,,,,203,0.636,0.596194,1.242975,0.595886,0.611,0.573133,1.273826,0.609485,0.214816,0.308654,0.8471,,,,,,,,,,,,,0.01,0.0005,64,0.5,9.002,,,4225688,9f9bb01aee1b,
M2_lap-c1d456bee6,citeseer,M2_lap,train,none,5,0,0.1,,,,145,0.636,0.581048,1.259095,0.601701,0.611,0.561424,1.283,0.612236,0.220387,0.292199,0.850615,,,,,,,,,,,,,0.01,0.0005,64,0.5,6.956,,,4225688,9f9bb01aee1b,
M2_lap-05c8f6d623,citeseer,M2_lap,train,none,5,0,0.5,,,,34,0.588,0.524418,1.504264,0.720622,0.534,0.480069,1.524622,0.727904,0.268381,0.197074,0.81283,,,,,,,,,,,,,0.01,0.0005,64,0.5,2.937,,,4225688,9f9bb01aee1b,
M2_lap-00ae3cc41b,citeseer,M2_lap,train,none,5,0,1.0,,,,102,0.596,0.541606,1.337292,0.64149,0.575,0.528175,1.364628,0.6528,0.224019,0.249913,0.840949,,,,,,,,,,,,,0.01,0.0005,64,0.5,5.782,,,4225688,9f9bb01aee1b,
M2_lap-2d78cac7f4,citeseer,M2_lap,train,none,5,0,5.0,,,,18,0.604,0.555811,1.666325,0.788384,0.568,0.53283,1.674449,0.79127,0.36725,0.170174,0.783831,,,,,,,,,,,,,0.01,0.0005,64,0.5,2.402,,,4225688,9f9bb01aee1b,
M4_mrf_gcn-c0c9454951,citeseer,M4_mrf_gcn,tuned_grid,mf,5,0,,0.05,,0,,0.636,0.596287,1.241248,0.595012,0.606,0.567817,1.27454,0.609642,0.209113,0.323031,0.853032,1,5,,,,,,,,,,,,,,,,0.0457,,4225688,9f9bb01aee1b,flip=0.0070
