run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-985066b072,cora,M0_mlp,train,none,20,10,0.0,,,,20,0.564,0.549572,1.79946,0.811073,0.581,0.561491,1.790085,0.808075,0.403284,0.144598,0.474043,,,,,,,,,,,,,0.01,0.001,64,0.5,2.007,,results/logits/M0_mlp-985066b072.npz,4225688,9f9bb01aee1b,
M4_mrf_mlp-0280ba5919,cora,M4_mrf_mlp,tuned_grid,mf,20,10,,0.05,,0,,0.572,0.56041,1.794344,0.80938,0.595,0.576732,1.784919,0.806335,0.41649,0.145002,0.504358,1,5,,,,,,,,,,,,,,,,0.0291,,4225688,9f9bb01aee1b,flip=0.0180
M4_mrf_mlp-637d19d720,cora,M4_mrf_mlp,tuned_grid,mf,20,10,,0.1,,0,,0.578,0.566693,1.787794,0.807176,0.601,0.582355,1.778357,0.804086,0.421437,0.145601,0.529746,1,7,,,,,,,,,,,,,,,,0.0278,,4225688,9f9bb01aee1b,flip=0.0280
M4_mrf_mlp-d905db677a,cora,M4_mrf_mlp,tuned_grid,mf,20,10,,0.25,,0,,0.604,0.592594,1.753578,0.794931,0.645,0.630596,1.744661,0.791823,0.459125,0.150019,0.595491,1,13,,,,,,,,,,,,,,,,0.3676,,4225688,9f9bb01aee1b,flip=0.0930
M4_mrf_mlp-26c6b7d702,cora,M4_mrf_mlp,tuned_grid,mf,20,10,,0.5,,0,,0.704,0.684936,1.570982,0.717621,0.716,0.693813,1.579549,0.72196,0.483748,0.194754,0.740243,1,53,,,,,,,,,,,,,,,,0.7885,,4225688,9f9bb01aee1b,flip=0.2310
M4_mrf_mlp-99846a3bd2,cora,M4_mrf_mlp,tuned_grid,mf,20,10,,1.0,,0,,0.734,0.71762,1.173687,0.513616,0.719,0.709067,1.138729,0.500021,0.20502,0.574642,0.881963,1,69,,,,,,,,,,,,,,,,1.2671,,4225688,9f9bb01aee1b,flip=0.4040
M4_mrf_mlp-bbf0dce281,cora,M4_mrf_mlp,tuned_grid,mf,20,10,,2.0,,0,,0.764,0.747803,1.417126,0.444927,0.761,0.748781,1.295178,0.435087,0.167395,0.833521,0.909246,1,81,,,,,,,,,,,,,,,,1.2412,,4225688,9f9bb01aee1b,flip=0.4230
M0_mlp-c100aedd91,cora,M0_mlp,train,none,20,11,0.0,,,,118,0.584,0.580954,1.377496,0.627593,0.525,0.531053,1.423328,0.64912,0.119998,0.222556,0.450171,,,,,,,,,,,,,0.01,0.001,64,0.5,4.781,,results/logits/M0_mlp-c100aedd91.npz,4225688,9f9bb01aee1b,
M4_mrf_mlp-14f0b9beb5,cora,M4_mrf_mlp,tuned_grid,mf,20,11,,0.05,,0,,0.594,0.593208,1.354527,0.617475,0.535,0.540687,1.399255,0.638749,0.123124,0.238942,0.485411,1,5,,,,,,,,,,,,,,,,0.0139,,4225688,9f9bb01aee1b,flip=0.0120
M4_mrf_mlp-62ad688f6e,cora,M4_mrf_mlp,tuned_grid,mf,20,11,,0.1,,0,,0.596,0.596303,1.329753,0.606534,0.54,0.54636,1.372614,0.627101,0.119819,0.255678,0.513263,1,7,,,,,,,,,,,,,,,,0.0219,,4225688,9f9bb01aee1b,flip=0.0220
M4_mrf_mlp-735980337e,cora,M4_mrf_mlp,tuned_grid,mf,20,11,,0.25,,0,,0.61,0.609639,1.249852,0.571906,0.581,0.589684,1.28123,0.586558,0.12704,0.314718,0.589428,1,13,,,,,,,,,,,,,,,,0.2962,,4225688,9f9bb01aee1b,flip=0.0890
M4_mrf_mlp-d071258c78,cora,M4_mrf_mlp,tuned_grid,mf,20,11,,0.5,,0,,0.648,0.647267,1.127633,0.518043,0.634,0.646599,1.122893,0.513883,0.099894,0.450866,0.718643,1,73,,,,,,,,,,,,,,,,1.1895,,4225688,9f9bb01aee1b,flip=0.1870
M4_mrf_mlp-0f82100323,cora,M4_mrf_mlp,tuned_grid,mf,20,11,,1.0,,0,,0.682,0.686016,1.154402,0.480348,0.692,0.704237,1.064947,0.463404,0.088206,0.685792,0.834596,1,38,,,,,,,,,,,,,,,,0.5634,,4225688,9f9bb01aee1b,flip=0.3140
M4_mrf_mlp-a45459a36a,cora,M4_mrf_mlp,tuned_grid,mf,20,11,,2.0,,0,,0.708,0.705306,1.737501,0.504313,0.715,0.726992,1.47436,0.477267,0.173301,0.845418,0.892762,1,112,,,,,,,,,,,,,,,,1.7239,,4225688,9f9bb01aee1b,flip=0.4010
M0_mlp-f25b918dad,cora,M0_mlp,train,none,20,12,0.0,,,,47,0.54,0.533384,1.514395,0.693413,0.585,0.573111,1.442361,0.666646,0.262923,0.182528,0.466844,,,,,,,,,,,,,0.01,0.001,64,0.5,3.063,,results/logits/M0_mlp-f25b918dad.npz,4225688,9f9bb01aee1b,
M4_mrf_mlp-d19d72ec89,cora,M4_mrf_mlp,tuned_grid,mf,20,12,,0.05,,0,,0.548,0.540809,1.494052,0.684663,0.597,0.586083,1.421913,0.657693,0.269881,0.191708,0.493558,1,5,,,,,,,,,,,,,,,,0.0169,,4225688,9f9bb01aee1b,flip=0.0170
M4_mrf_mlp-06a164a360,cora,M4_mrf_mlp,tuned_grid,mf,20,12,,0.1,,0,,0.556,0.548958,1.470491,0.674211,0.613,0.60333,1.398306,0.647091,0.279577,0.200923,0.527283,1,7,,,,,,,,,,,,,,,,0.0265,,4225688,9f9bb01aee1b,flip=0.0400
M4_mrf_mlp-91e015774b,cora,M4_mrf_mlp,tuned_grid,mf,20,12,,0.25,,0,,0.588,0.586266,1.376067,0.631002,0.652,0.642068,1.303166,0.602311,0.288381,0.243584,0.610648,1,14,,,,,,,,,,,,,,,,0.412,,4225688,9f9bb01aee1b,flip=0.1100
M4_mrf_mlp-0a39114b0f,cora,M4_mrf_mlp,tuned_grid,mf,20,12,,0.5,,0,,0.652,0.643137,1.154641,0.527039,0.724,0.707735,1.079594,0.492307,0.261541,0.382123,0.728496,1,35,,,,,,,,,,,,,,,,0.4771,,4225688,9f9bb01aee1b,flip=0.2190
M4_mrf_mlp-2f47af1a7c,cora,M4_mrf_mlp,tuned_grid,mf,20,12,,1.0,,0,,0.734,0.716737,1.012709,0.434124,0.763,0.745126,0.867861,0.383942,0.105048,0.669695,0.862448,1,54,,,,,,,,,,,,,,,,0.79,,4225688,9f9bb01aee1b,flip=0.3470
M4_mrf_mlp-38cb1e840b,cora,M4_mrf_mlp,tuned_grid,mf,20,12,,2.0,,0,,0.742,0.728777,1.465703,0.437069,0.771,0.757135,1.138672,0.385122,0.121594,0.847535,0.902236,1,107,,,,,,,,,,,,,,,,1.6815,,4225688,9f9bb01aee1b,flip=0.3910
M0_mlp-5f02db0bf7,cora,M0_mlp,train,none,20,13,0.0,,,,108,0.578,0.570335,1.366909,0.619861,0.588,0.572919,1.33655,0.610409,0.175304,0.227107,0.496021,,,,,,,,,,,,,0.01,0.001,64,0.5,4.991,,results/logits/M0_mlp-5f02db0bf7.npz,4225688,9f9bb01aee1b,
M4_mrf_mlp-4259bf9229,cora,M4_mrf_mlp,tuned_grid,mf,20,13,,0.05,,0,,0.584,0.576228,1.340317,0.607971,0.596,0.581234,1.311115,0.598894,0.174481,0.244026,0.516105,1,5,,,,,,,,,,,,,,,,0.0162,,4225688,9f9bb01aee1b,flip=0.0130
M4_mrf_mlp-74e4d199c8,cora,M4_mrf_mlp,tuned_grid,mf,20,13,,0.1,,0,,0.588,0.57967,1.311405,0.595044,0.608,0.593445,1.282921,0.586003,0.176511,0.261244,0.537704,1,6,,,,,,,,,,,,,,,,0.0211,,4225688,9f9bb01aee1b,flip=0.0280
