run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-29febedeec,cora,M0_mlp,train,none,10,0,0.0,,,,24,0.504,0.484262,1.796672,0.809294,0.495,0.477491,1.800992,0.81101,0.310132,0.145199,0.390678,,,,,,,,,,,,,0.01,0.001,64,0.5,0.797,,results/logits/M0_mlp-29febedeec.npz,4225688,9f9bb01aee1b,
M1_gcn-cbe254d31d,cora,M1_gcn,train,none,10,0,0.0,,,,43,0.762,0.743701,1.249392,0.585419,0.765,0.742509,1.254334,0.586954,0.4308,0.226779,0.77643,,,,,,,,,,,,,0.01,0.001,64,0.5,1.748,,results/logits/M1_gcn-cbe254d31d.npz,4225688,9f9bb01aee1b,
LP-7598bb1a2c,cora,LP,closed_form,label_prop,10,0,,,,,,0.538,0.576372,1.295128,0.607578,0.54,0.582665,1.31503,0.60555,0.19401,0.276206,0.885752,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,uses train labels as inference-time evidence
M2_lap-5f1ab0b600,cora,M2_lap,train,none,10,0,0.001,,,,43,0.762,0.743701,1.249574,0.585461,0.765,0.742509,1.254561,0.587037,0.430923,0.226759,0.776052,,,,,,,,,,,,,0.01,0.001,64,0.5,3.02,,,4225688,9f9bb01aee1b,
M2_lap-b92f26deef,cora,M2_lap,train,none,10,0,0.01,,,,44,0.762,0.741645,1.235419,0.578553,0.765,0.741997,1.240767,0.580215,0.424893,0.231581,0.777188,,,,,,,,,,,,,0.01,0.001,64,0.5,2.013,,,4225688,9f9bb01aee1b,
M2_lap-616d0aaa4f,cora,M2_lap,train,none,10,0,0.1,,,,42,0.766,0.748456,1.260255,0.590606,0.768,0.746257,1.266034,0.592525,0.439357,0.222969,0.787988,,,,,,,,,,,,,0.01,0.001,64,0.5,2.067,,,4225688,9f9bb01aee1b,
M2_lap-1690ec8768,cora,M2_lap,train,none,10,0,0.5,,,,33,0.772,0.760554,1.424743,0.664944,0.777,0.757489,1.429725,0.667078,0.508391,0.183852,0.783441,,,,,,,,,,,,,0.01,0.001,64,0.5,1.824,,,4225688,9f9bb01aee1b,
M2_lap-e5cf27907a,cora,M2_lap,train,none,10,0,1.0,,,,27,0.78,0.770866,1.539782,0.714129,0.781,0.764093,1.544281,0.716108,0.548892,0.164972,0.783441,,,,,,,,,,,,,0.01,0.001,64,0.5,1.69,,,4225688,9f9bb01aee1b,
M2_lap-3c47171d33,cora,M2_lap,train,none,10,0,5.0,,,,26,0.772,0.760845,1.590562,0.734392,0.767,0.753162,1.592605,0.735087,0.547314,0.159497,0.833081,,,,,,,,,,,,,0.01,0.001,64,0.5,1.752,,,4225688,9f9bb01aee1b,
M3_rule-d926f715f4,cora,M3_rule,train,none,10,0,0.001,,,,43,0.762,0.743701,1.249154,0.585303,0.765,0.742509,1.254131,0.586861,0.430784,0.22682,0.77643,,,,,,,,,,,,,0.01,0.001,64,0.5,2.331,,,4225688,9f9bb01aee1b,
