run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-5e0e075e45,sbm,M0_mlp,train,none,1,0,0.0,,,,16,0.278,0.265642,1.837748,0.825275,0.271,0.253415,1.822019,0.819812,0.057838,0.152028,0.191925,,,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,0.01,0.0005,64,0.5,0.423,,results/logits/M0_mlp-5e0e075e45.npz,4225688,9f9bb01aee1b,
M1_gcn-0bce11755a,sbm,M1_gcn,train,none,1,0,0.0,,,,92,0.536,0.520383,1.299799,0.610177,0.536,0.520136,1.280101,0.607859,0.063996,0.240603,0.408383,,,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,0.005,0.001,64,0.5,4.784,,results/logits/M1_gcn-0bce11755a.npz,4225688,9f9bb01aee1b,
LP-6c14277e6a,sbm,LP,closed_form,label_prop,1,0,,,,,,0.17,0.052477,1.955856,0.859825,0.148,0.053137,1.998661,0.865226,0.097811,0.152187,0.971754,,,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,,,,,,,,4225688,9f9bb01aee1b,uses train labels as inference-time evidence
M2_lap-f135df006b,sbm,M2_lap,train,none,1,0,0.001,,,,92,0.536,0.520383,1.299966,0.610273,0.536,0.520136,1.280262,0.607951,0.062099,0.240526,0.408383,,,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,0.005,0.001,64,0.5,5.24,,,4225688,9f9bb01aee1b,
M2_lap-7dc60b1f45,sbm,M2_lap,train,none,1,0,0.01,,,,71,0.532,0.516922,1.312137,0.618207,0.54,0.524041,1.290646,0.614642,0.099834,0.22245,0.406663,,,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,0.005,0.001,64,0.5,4.519,,,4225688,9f9bb01aee1b,
M2_lap-eec6ed5bec,sbm,M2_lap,train,none,1,0,0.1,,,,49,0.526,0.511629,1.404028,0.661373,0.527,0.516052,1.393154,0.659778,0.178293,0.187302,0.408926,,,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,0.005,0.001,64,0.5,3.765,,,4225688,9f9bb01aee1b,
M2_lap-852c5b56cb,sbm,M2_lap,train,none,1,0,0.5,,,,48,0.522,0.510696,1.423636,0.670504,0.519,0.509095,1.412171,0.668266,0.181952,0.183056,0.406573,,,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,0.005,0.001,64,0.5,2.626,,,4225688,9f9bb01aee1b,
M2_lap-c3d68b8d2a,sbm,M2_lap,train,none,1,0,1.0,,,,47,0.524,0.514561,1.444694,0.679802,0.515,0.50728,1.432883,0.677125,0.189533,0.179029,0.405033,,,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,0.005,0.001,64,0.5,2.569,,,4225688,9f9bb01aee1b,
M2_lap-2e28a9e09b,sbm,M2_lap,train,none,1,0,5.0,,,,35,0.514,0.490759,1.596755,0.737982,0.515,0.496972,1.587989,0.735293,0.261944,0.158102,0.415354,,,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,0.005,0.001,64,0.5,2.315,,,4225688,9f9bb01aee1b,
M4_mrf_gcn-c93dacf23b,sbm,M4_mrf_gcn,tuned_grid,mf,1,0,,0.05,,0,,0.536,0.518463,1.288257,0.604263,0.542,0.525486,1.270813,0.603361,0.059655,0.248915,0.417617,1,5,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,,,,,,0.0582,,4225688,9f9bb01aee1b,flip=0.0130
M4_mrf_mlp-caefc39ceb,sbm,M4_mrf_mlp,tuned_grid,mf,1,0,,0.05,,0,,0.282,0.266366,1.832675,0.823366,0.276,0.255598,1.817174,0.818037,0.045049,0.154005,0.204056,1,5,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,,,,,,0.039,,4225688,9f9bb01aee1b,flip=0.0210
M4_mrf_gcn-55522c520d,sbm,M4_mrf_gcn,tuned_grid,mf,1,0,,0.1,,0,,0.534,0.514068,1.277364,0.598615,0.54,0.52242,1.262461,0.599282,0.052644,0.25803,0.424045,1,6,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,,,,,,0.0434,,4225688,9f9bb01aee1b,flip=0.0260
M4_mrf_mlp-eb6c977c52,sbm,M4_mrf_mlp,tuned_grid,mf,1,0,,0.1,,0,,0.28,0.262238,1.827914,0.821485,0.274,0.253744,1.812715,0.816342,0.046038,0.156346,0.218269,1,6,,,,,0.5,0.50217,0.41919,0.18596,0.5,1.79426,,,,,,0.0379,,4225688,9f9bb01aee1b,flip=0.0410
