run_id,dataset,model,regime,inference_method,label_per_class,split_seed,lambda,beta,weighted_prior,clamped,best_epoch,val_acc,val_f1,val_nll,val_brier,test_acc,test_f1,test_nll,test_brier,ece,rule_score,edge_agreement,converged,iters,final_residual,ess_min,ess_median,rhat_max,target_h,empirical_h,adjusted_h,label_informativeness,sigma_x,beta_gen,lr,weight_decay,hidden,dropout,train_seconds,infer_seconds,logits_path,git_commit,protocol_hash,notes
M0_mlp-757863d761,cora,M0_mlp,train,none,5,0,0.0,,,,23,0.368,0.377652,1.873254,0.834299,0.31,0.330792,1.886651,0.838981,0.134171,0.144169,0.363585,,,,,,,,,,,,,0.01,0.001,64,0.5,0.735,,results/logits/M0_mlp-757863d761.npz,4225688,9f9bb01aee1b,
M1_gcn-7314890014,cora,M1_gcn,train,none,5,0,0.0,,,,72,0.702,0.689043,1.276213,0.595106,0.671,0.663681,1.320833,0.61707,0.326827,0.24187,0.728306,,,,,,,,,,,,,0.01,0.001,64,0.5,2.248,,results/logits/M1_gcn-7314890014.npz,4225688,9f9bb01aee1b,
LP-4788097425,cora,LP,closed_form,label_prop,5,0,,,,,,0.234,0.261868,1.569128,0.733209,0.211,0.232463,1.620192,0.744258,0.212581,0.234791,0.927624,,,,,,,,,,,,,,,,,,,,4225688,9f9bb01aee1b,uses train labels as inference-time evidence
M2_lap-06304971f0,cora,M2_lap,train,none,5,0,0.001,,,,72,0.698,0.685698,1.27548,0.594779,0.675,0.667775,1.320115,0.61675,0.330726,0.241977,0.728117,,,,,,,,,,,,,0.01,0.001,64,0.5,3.822,,,4225688,9f9bb01aee1b,
M2_lap-cec23ebe16,cora,M2_lap,train,none,5,0,0.01,,,,89,0.7,0.685712,1.229562,0.575106,0.676,0.666288,1.273832,0.596847,0.313143,0.256561,0.728117,,,,,,,,,,,,,0.01,0.001,64,0.5,4.293,,,4225688,9f9bb01aee1b,
M2_lap-31c5d81d46,cora,M2_lap,train,none,5,0,0.1,,,,73,0.712,0.702112,1.265496,0.590619,0.69,0.684314,1.309733,0.612256,0.344618,0.243447,0.740053,,,,,,,,,,,,,0.01,0.001,64,0.5,4.045,,,4225688,9f9bb01aee1b,
M2_lap-41241fe754,cora,M2_lap,train,none,5,0,0.5,,,,42,0.716,0.707899,1.412686,0.655665,0.689,0.687217,1.455981,0.676549,0.409585,0.195347,0.750095,,,,,,,,,,,,,0.01,0.001,64,0.5,2.308,,,4225688,9f9bb01aee1b,
M2_lap-c9f9a35428,cora,M2_lap,train,none,5,0,1.0,,,,32,0.718,0.722603,1.542299,0.710985,0.673,0.679533,1.577657,0.727257,0.435261,0.169893,0.749716,,,,,,,,,,,,,0.01,0.001,64,0.5,1.797,,,4225688,9f9bb01aee1b,
M2_lap-25f86f3a01,cora,M2_lap,train,none,5,0,5.0,,,,14,0.736,0.72679,1.80048,0.811468,0.706,0.697339,1.812278,0.815702,0.537193,0.144742,0.713907,,,,,,,,,,,,,0.01,0.001,64,0.5,1.395,,,4225688,9f9bb01aee1b,
M3_rule-1d8e9b5ef0,cora,M3_rule,train,none,5,0,0.001,,,,72,0.7,0.687289,1.275705,0.594893,0.672,0.665243,1.320322,0.616854,0.327687,0.242,0.728496,,,,,,,,,,,,,0.01,0.001,64,0.5,2.582,,,4225688,9f9bb01aee1b,
M3_rule-6aceb7d7ab,cora,M3_rule,train,none,5,0,0.01,,,,64,0.7,0.679949,1.295186,0.603164,0.669,0.66043,1.343705,0.626972,0.336163,0.232204,0.724517,,,,,,,,,,,,,0.01,0.001,64,0.5,2.407,,,4225688,9f9bb01aee1b,
M3_rule-13564ddc37,cora,M3_rule,train,none,5,0,0.1,,,,90,0.72,0.704755,1.188426,0.555912,0.697,0.685914,1.232454,0.577554,0.320009,0.269602,0.743463,,,,,,,,,,,,,0.01,0.001,64,0.5,3.273,,,4225688,9f9bb01aee1b,
M3_rule-a9c5a23c55,cora,M3_rule,train,none,5,0,0.5,,,,90,0.76,0.745644,1.00413,0.467128,0.742,0.719468,1.043039,0.484645,0.286935,0.342531,0.828534,,,,,,,,,,,,,0.01,0.001,64,0.5,2.992,,,4225688,9f9bb01aee1b,
M3_rule-52789f0ab5,cora,M3_rule,train,none,5,0,1.0,,,,30,0.334,0.426086,1.668642,0.765858,0.31,0.38778,1.699611,0.77959,0.054652,0.193585,0.809398,,,,,,,,,,,,,0.01,0.001,64,0.5,1.627,,,4225688,9f9bb01aee1b,
M3_rule-552be7831e,cora,M3_rule,train,none,5,0,5.0,,,,0,0.14,0.116131,1.943297,0.856404,0.139,0.104806,1.943632,0.856503,0.068168,0.142983,0.937666,,,,,,,,,,,,,0.01,0.001,64,0.5,0.953,,,4225688,9f9bb01aee1b,
M4_mrf_gcn-33391f9f92,cora,M4_mrf_gcn,tuned_grid,mf,5,0,,0.05,,0,,0.704,0.690726,1.255481,0.585016,0.674,0.667961,1.301082,0.607047,0.319725,0.256732,0.741379,1,5,,,,,,,,,,,,,,,,0.0393,,4225688,9f9bb01aee1b,flip=0.0100
M4_mrf_mlp-545b6960cd,cora,M4_mrf_mlp,tuned_grid,mf,5,0,,0.05,,0,,0.374,0.3846,1.870547,0.833428,0.316,0.33587,1.88405,0.838156,0.139634,0.144397,0.390678,1,5,,,,,,,,,,,,,,,,0.0304,,4225688,9f9bb01aee1b,flip=0.0120
M4_mrf_gcn_clamped-87035fc51d,cora,M4_mrf_gcn_clamped,tuned_grid,mf,5,0,,0.05,,1,,0.704,0.690726,1.255441,0.585,0.674,0.667961,1.30097,0.606974,0.319605,0.259479,0.741379,1,5,,,,,,,,,,,,,,,,0.0234,,4225688,9f9bb01aee1b,flip=0.0100
M4_mrf_gcn-90473a7656,cora,M4_mrf_gcn,tuned_grid,mf,5,0,,0.1,,0,,0.704,0.690726,1.232667,0.573758,0.675,0.668956,1.279218,0.595876,0.309052,0.27199,0.747442,1,6,,,,,,,,,,,,,,,,0.2098,,4225688,9f9bb01aee1b,flip=0.0130
