structure,n,C,beta,alpha,draw_seed,method,tv_mean,tv_max,tv_mean_informative,tv_mean_uninformative,converged,iters,final_residual,ess_min,rhat_max,gibbs_kept,exact_method,wall_seconds
grid,16,3,4.0,0.5,200,mf,0.11031571406493766,0.11060289742350665,0.11030666224109724,0.11034286953645903,1,10,,,,,ve,0.0079
grid,16,3,4.0,0.5,200,lbp,0.11016611968204656,0.11028072067788106,0.11016566869592398,0.11016747264041435,1,38,3.0006864204512596e-07,,,,ve,0.0267
grid,16,3,4.0,0.5,200,gibbs,0.8891164432084868,0.8897879410245821,0.8890732951636701,0.8892458873429374,0,2000,,4.5,2.98993,2000,ve,9.9196
grid,16,3,0.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.012
grid,16,3,0.0,1.5,200,mf,3.791454997181809e-16,1.0824674490095276e-15,3.3928299984313054e-16,4.98732999343332e-16,1,1,,,,,ve,0.0009
grid,16,3,0.0,1.5,200,lbp,3.6879136897094433e-16,1.0824674490095276e-15,3.1926139972456486e-16,5.173812767100827e-16,1,3,0.0,,,,ve,0.002
grid,16,3,0.0,1.5,200,gibbs,5.294972359876082e-15,1.4210854715202004e-14,4.379526255537947e-15,8.04131067289049e-15,1,2000,,7654.4,1.0006,2000,ve,10.0715
grid,16,3,0.1,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0146
grid,16,3,0.1,1.5,200,mf,0.00043152700985681677,0.0010379751782119313,0.0004518815795913976,0.0003704633006530742,1,4,,,,,ve,0.0037
grid,16,3,0.1,1.5,200,lbp,4.037324739973656e-07,1.3613441084431993e-06,4.499430292006854e-07,2.651008083874064e-07,1,17,2.3248881203530303e-07,,,,ve,0.0104
grid,16,3,0.1,1.5,200,gibbs,0.00031523768797531333,0.0008332845733767802,0.000248690490211106,0.0005148792812679354,1,2000,,7690.6,1.00058,2000,ve,8.7276
grid,16,3,0.25,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0098
grid,16,3,0.25,1.5,200,mf,0.0026989156174008714,0.0062540969354371295,0.0027557580869191993,0.0025283882088458867,1,5,,,,,ve,0.0032
