structure,n,C,beta,alpha,draw_seed,method,tv_mean,tv_max,tv_mean_informative,tv_mean_uninformative,converged,iters,final_residual,ess_min,rhat_max,gibbs_kept,exact_method,wall_seconds
tree,15,3,4.0,0.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0074
tree,15,3,4.0,0.5,200,mf,0.4365682120934614,0.9145922598602065,0.433604575600363,0.4447182124494823,1,5,,,,,ve,0.0039
tree,15,3,4.0,0.5,200,lbp,3.646489784116945e-08,1.2624629084972624e-07,3.792426636171815e-08,3.24516344096605e-08,1,39,2.596062076420935e-07,,,,ve,0.0236
tree,15,3,4.0,0.5,200,gibbs,0.12203209285095576,0.13966335211997327,0.1219012426214564,0.12239193098207905,0,2000,,21.6,1.11702,2000,ve,9.706
tree,15,3,0.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0071
tree,15,3,0.0,1.5,200,mf,3.1895782311626894e-16,5.551115123125783e-16,3.109886086023876e-16,3.408731630294426e-16,1,1,,,,,ve,0.001
tree,15,3,0.0,1.5,200,lbp,3.0693040701616308e-16,5.551115123125783e-16,3.065729488453557e-16,3.0791341698588326e-16,1,3,0.0,,,,ve,0.0019
tree,15,3,0.0,1.5,200,gibbs,5.862671459411217e-15,1.1889794704345036e-14,5.224356301105424e-15,7.618038144752148e-15,1,2000,,7677.0,1.0006,2000,ve,9.1201
tree,15,3,0.1,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0106
tree,15,3,0.1,1.5,200,mf,0.00039611783213121325,0.0009448193490174464,0.00041129237330215276,0.0003543878439111296,1,4,,,,,ve,0.0048
tree,15,3,0.1,1.5,200,lbp,1.0249893142276942e-07,2.1548738872098627e-07,9.582999587898967e-08,1.2083850416816366e-07,1,17,1.9533066814014788e-07,,,,ve,0.0172
tree,15,3,0.1,1.5,200,gibbs,0.000116422889071686,0.0003731885900726678,5.618326483562823e-05,0.0002820818557208449,1,2000,,7758.8,1.00048,2000,ve,9.525
tree,15,3,0.25,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0076
tree,15,3,0.25,1.5,200,mf,0.0025367235463660672,0.00558257568386308,0.0025856080989123944,0.002402291026863666,1,5,,,,,ve,0.0029
tree,15,3,0.25,1.5,200,lbp,1.1955531407162324e-07,2.7574987416026375e-07,1.0390309059381896e-07,1.62598928635585e-07,1,19,2.811138505309785e-07,,,,ve,0.0091
tree,15,3,0.25,1.5,200,gibbs,0.0003596309450756976,0.0012187613354679508,0.0002148253003117,0.0007578464681766909,1,2000,,7535.4,1.00048,2000,ve,8.4842
tree,15,3,0.5,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0076
tree,15,3,0.5,1.5,200,mf,0.010102194907160947,0.018697033809063193,0.01016907935920201,0.009918262664048026,1,6,,,,,ve,0.0047
tree,15,3,0.5,1.5,200,lbp,9.711200165534821e-08,2.641829954519448e-07,9.393022867385602e-08,1.0586187735445174e-07,1,22,3.0034276699009155e-07,,,,ve,0.0133
tree,15,3,0.5,1.5,200,gibbs,0.0006943037461654653,0.002096124049786062,0.0004899118086694232,0.0012563815742795813,1,2000,,6680.0,1.00092,2000,ve,7.5786
tree,15,3,0.75,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0064
tree,15,3,0.75,1.5,200,mf,0.021597713815150646,0.043201472052073156,0.021722863887252617,0.021253551116870203,1,8,,,,,ve,0.0043
tree,15,3,0.75,1.5,200,lbp,6.063653434183516e-08,2.084784872131984e-07,6.251499268912876e-08,5.547077388677775e-08,1,25,2.5262486447186205e-07,,,,ve,0.0122
tree,15,3,0.75,1.5,200,gibbs,0.0009628788199853661,0.002737577176068408,0.0006967358853890381,0.001694771890125268,1,2000,,6280.4,1.0014,2000,ve,8.5977
tree,15,3,1.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.006
tree,15,3,1.0,1.5,200,mf,0.03599181003030288,0.07559139690960151,0.036410995303450516,0.03483905052914689,1,12,,,,,ve,0.0053
tree,15,3,1.0,1.5,200,lbp,6.171631049909503e-08,2.309619927705342e-07,6.217931682000453e-08,6.044304311659393e-08,1,27,3.1560388963347563e-07,,,,ve,0.0106
tree,15,3,1.0,1.5,200,gibbs,0.0013653388784729992,0.004376542864750706,0.0011512231551890338,0.001954157117503905,1,2000,,5842.3,1.00118,2000,ve,7.7749
tree,15,3,1.3,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0064
tree,15,3,1.3,1.5,200,mf,0.05546528958622489,0.11655613931956207,0.05623053333316757,0.05336086928213252,1,19,,,,,ve,0.0115
tree,15,3,1.3,1.5,200,lbp,6.508494106106123e-08,2.1523687104493816e-07,6.428748420238273e-08,6.72779474224271e-08,1,29,2.9819796087959816e-07,,,,ve,0.0127
tree,15,3,1.3,1.5,200,gibbs,0.0016706624706865395,0.004921511978603112,0.0017771757244178824,0.0013777510229253471,1,2000,,5372.8,1.0001,2000,ve,8.3772
tree,15,3,1.75,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0058
tree,15,3,1.75,1.5,200,mf,0.1035618317925928,0.34010252821766146,0.10308475513402718,0.10487379260364829,1,44,,,,,ve,0.0221
tree,15,3,1.75,1.5,200,lbp,7.964738720568574e-08,2.0784499686621327e-07,7.831787742654535e-08,8.330353909832182e-08,1,31,2.662657941909785e-07,,,,ve,0.014
tree,15,3,1.75,1.5,200,gibbs,0.002616196120779804,0.004935746361618608,0.002472790689650786,0.0030105610563846024,1,2000,,4160.8,1.00039,2000,ve,7.8646
tree,15,3,2.5,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.007
tree,15,3,2.5,1.5,200,mf,0.1827485179396446,0.6319654562686792,0.16926100831393479,0.21983916941034679,1,31,,,,,ve,0.0156
tree,15,3,2.5,1.5,200,lbp,1.1717016143731236e-07,4.013369056046767e-07,1.1938373088120377e-07,1.1108284546661098e-07,1,33,3.0391355554382216e-07,,,,ve,0.0156
tree,15,3,2.5,1.5,200,gibbs,0.0066586377947362085,0.018271993797619762,0.005787186755252232,0.009055128153317146,1,2000,,1978.3,1.00264,2000,ve,7.9709
tree,15,3,4.0,1.5,200,exact,0.0,0.0,,,1,,,,,,ve,0.0058
tree,15,3,4.0,1.5,200,mf,0.39759795845135365,0.9267630702180254,0.3907880114937096,0.4163253125848749,1,6,,,,,ve,0.0036
tree,15,3,4.0,1.5,200,lbp,5.728299998821991e-08,1.777675865850814e-07,5.981095917139026e-08,5.0331112234501454e-08,1,38,2.0969904638429293e-07,,,,ve,0.0197
tree,15,3,4.0,1.5,200,gibbs,0.05109756820700526,0.06670635411788298,0.04920991975581317,0.056288601447783526,0,2000,,38.3,1.07135,2000,ve,7.9046
tree,15,3,0.0,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.011
tree,15,3,0.0,0.5,201,mf,2.6043981785998463e-16,8.396061623727746e-16,2.3907643541643995e-16,3.191891195797325e-16,1,1,,,,,ve,0.0011
tree,15,3,0.0,0.5,201,lbp,2.590520390792032e-16,8.951173136040325e-16,2.4223047810003414e-16,3.0531133177191805e-16,1,3,0.0,,,,ve,0.0019
tree,15,3,0.0,0.5,201,gibbs,7.201415389938385e-15,1.4002687898084787e-14,7.0130139069716916e-15,7.719519468096792e-15,1,2000,,7894.7,0.99984,2000,ve,8.5654
tree,15,3,0.1,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0064
tree,15,3,0.1,0.5,201,mf,0.0003715823862592615,0.0009279832913760347,0.00036053632518473613,0.0004019590542142064,1,4,,,,,ve,0.0026
tree,15,3,0.1,0.5,201,lbp,1.5325116491151276e-07,2.9652614486064266e-07,1.613762577955384e-07,1.309071594804423e-07,1,16,2.3138010907253204e-07,,,,ve,0.0082
tree,15,3,0.1,0.5,201,gibbs,0.00022779119268873568,0.0005997502951065534,0.00020340678645032787,0.0002948483098443571,1,2000,,8056.9,0.99992,2000,ve,8.2646
tree,15,3,0.25,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0093
tree,15,3,0.25,0.5,201,mf,0.0022823258595515605,0.00595335363055597,0.002217127582273967,0.002461621122064942,1,5,,,,,ve,0.0034
tree,15,3,0.25,0.5,201,lbp,1.3251823229494994e-07,3.0643157047927083e-07,1.2981727352433625e-07,1.3994586891413752e-07,1,18,2.4201715659311063e-07,,,,ve,0.0116
tree,15,3,0.25,0.5,201,gibbs,0.00046210146507477657,0.0011143294613291214,0.00046039625550552225,0.00046679079139022583,1,2000,,7884.2,0.99983,2000,ve,7.8333
tree,15,3,0.5,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0071
tree,15,3,0.5,0.5,201,mf,0.008723367626612974,0.024700872544624275,0.008654142940106042,0.00891373551450704,1,8,,,,,ve,0.0043
tree,15,3,0.5,0.5,201,lbp,1.1774174362016999e-07,2.432791662843048e-07,9.956782044936743e-08,1.6772003233987698e-07,1,21,2.833775749611078e-07,,,,ve,0.0118
tree,15,3,0.5,0.5,201,gibbs,0.0010735836577538509,0.00315607295140519,0.0010326263353753842,0.0011862162942946342,1,2000,,7640.0,0.99999,2000,ve,8.5298
tree,15,3,0.75,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0076
tree,15,3,0.75,0.5,201,mf,0.023894892914139584,0.05818333226770726,0.024947307475371248,0.02100075287075251,1,14,,,,,ve,0.0073
tree,15,3,0.75,0.5,201,lbp,2.0790827960267174e-07,5.131540362635079e-07,1.978014574538248e-07,2.3570204051200083e-07,1,24,2.874458864265961e-07,,,,ve,0.01
tree,15,3,0.75,0.5,201,gibbs,0.0019532595222592213,0.004035854853767701,0.002033207309563564,0.0017334031071722794,1,2000,,6683.9,1.00008,2000,ve,7.6695
tree,15,3,1.0,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0068
tree,15,3,1.0,0.5,201,mf,0.08229427058585151,0.1785360736218262,0.08514510699197407,0.07445447046901447,1,23,,,,,ve,0.0106
tree,15,3,1.0,0.5,201,lbp,1.3585423878336353e-07,4.521302891247192e-07,1.4137113479609473e-07,1.206827747483527e-07,1,28,2.886029044080196e-07,,,,ve,0.0125
tree,15,3,1.0,0.5,201,gibbs,0.003730422603120182,0.00690765148460102,0.0038889909836752885,0.0032943595565936394,1,2000,,5524.8,1.00034,2000,ve,22.5963
tree,15,3,1.3,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0086
tree,15,3,1.3,0.5,201,mf,0.17946790170435156,0.36349720646731754,0.18704421186600725,0.1586330487597984,1,18,,,,,ve,0.0111
tree,15,3,1.3,0.5,201,lbp,1.1507949835380208e-07,4.220943626564999e-07,1.240494964375878e-07,9.04120036233913e-08,1,31,2.941921342647369e-07,,,,ve,0.0111
tree,15,3,1.3,0.5,201,gibbs,0.0026055452142203462,0.008131053001318181,0.0022917629066882424,0.0034684465599336325,1,2000,,4401.1,1.00059,2000,ve,7.972
tree,15,3,1.75,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0058
tree,15,3,1.75,0.5,201,mf,0.27469874350908374,0.4446291674028353,0.2819323028738468,0.2548064552559855,1,14,,,,,ve,0.0067
tree,15,3,1.75,0.5,201,lbp,1.0004852507641826e-07,3.7848470131607304e-07,1.0804945860506701e-07,7.804595787263419e-08,1,34,2.988742644483011e-07,,,,ve,0.0138
tree,15,3,1.75,0.5,201,gibbs,0.009647085922977867,0.014285169858539157,0.010060373022938135,0.008510546398087135,1,2000,,3036.8,1.00337,2000,ve,8.0002
tree,15,3,2.5,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0056
tree,15,3,2.5,0.5,201,mf,0.38226857815646775,0.5386423993815772,0.39242622962679585,0.35433503661306565,1,9,,,,,ve,0.0048
tree,15,3,2.5,0.5,201,lbp,1.0338831515887178e-07,3.332280363727014e-07,1.0705466407801012e-07,9.330585563124133e-08,1,37,2.690376412761708e-07,,,,ve,0.016
tree,15,3,2.5,0.5,201,gibbs,0.03594493075008875,0.06125928966624733,0.038043275973336524,0.03017448138615736,1,2000,,2319.8,1.00105,2000,ve,7.4856
tree,15,3,4.0,0.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0073
tree,15,3,4.0,0.5,201,mf,0.5989715787404545,0.7945346008148496,0.5928011482434479,0.6159402626072221,1,8,,,,,ve,0.0037
tree,15,3,4.0,0.5,201,lbp,1.1084611097981571e-07,2.7258936349805474e-07,1.1205817456021046e-07,1.0751293613373014e-07,1,40,2.1984776477079748e-07,,,,ve,0.0206
tree,15,3,4.0,0.5,201,gibbs,0.23180072324181497,0.27112896651212165,0.23245836051729354,0.22999222073424894,0,2000,,382.8,1.01301,2000,ve,8.3703
tree,15,3,0.0,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0055
tree,15,3,0.0,1.5,201,mf,2.1348663577687905e-16,6.800116025829084e-16,2.4822315919886313e-16,1.1796119636642288e-16,1,1,,,,,ve,0.0006
tree,15,3,0.0,1.5,201,lbp,2.040034807748725e-16,6.696032617270475e-16,2.403380524898776e-16,1.0408340855860843e-16,1,3,0.0,,,,ve,0.0013
tree,15,3,0.0,1.5,201,gibbs,5.6373887039976955e-15,1.3850032232198828e-14,4.866372456517483e-15,7.757683384568281e-15,1,2000,,7955.5,1.00003,2000,ve,7.8821
tree,15,3,0.1,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0115
tree,15,3,0.1,1.5,201,mf,0.0003531202147299148,0.0010295523746070914,0.00034509233978733805,0.00037519687082200083,1,4,,,,,ve,0.003
tree,15,3,0.1,1.5,201,lbp,8.360086130830557e-08,1.4418172263747087e-07,8.323895816259662e-08,8.459609495900522e-08,1,17,1.6459354185149877e-07,,,,ve,0.0122
tree,15,3,0.1,1.5,201,gibbs,0.0001230402044827536,0.00031685915328663605,0.00010073841746882955,0.00018437011877104476,1,2000,,8024.8,1.00001,2000,ve,7.4088
tree,15,3,0.25,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0059
tree,15,3,0.25,1.5,201,mf,0.002279792956075551,0.006604269440266146,0.0022054971773930706,0.002484106347452373,1,5,,,,,ve,0.0021
tree,15,3,0.25,1.5,201,lbp,6.693293277508505e-08,1.3951681091667334e-07,5.8374676528977966e-08,9.046813745187954e-08,1,19,2.3587024516880106e-07,,,,ve,0.0065
tree,15,3,0.25,1.5,201,gibbs,0.0003423502833361235,0.0007360584230520079,0.00030936459938753197,0.00043306091419475015,1,2000,,7815.8,0.99984,2000,ve,6.9752
tree,15,3,0.5,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0117
tree,15,3,0.5,1.5,201,mf,0.01031085381473056,0.02801386402330061,0.009881333390730643,0.011492034980730335,1,7,,,,,ve,0.0039
tree,15,3,0.5,1.5,201,lbp,1.0370472204798697e-07,3.9813644236996737e-07,1.0614600787943083e-07,9.699118601151635e-08,1,21,3.482348414629577e-07,,,,ve,0.0095
tree,15,3,0.5,1.5,201,gibbs,0.000970800658470878,0.0024637255445874237,0.0009382444614653062,0.0010603302002362008,1,2000,,7264.5,1.00011,2000,ve,6.5785
tree,15,3,0.75,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0053
tree,15,3,0.75,1.5,201,mf,0.027074008221127245,0.06924187399830257,0.026385337445204226,0.028967852854915564,1,11,,,,,ve,0.0054
tree,15,3,0.75,1.5,201,lbp,4.570991590790996e-08,1.9385030589069707e-07,4.316839977936113e-08,5.2699085261419254e-08,1,25,2.1911437769750464e-07,,,,ve,0.0097
tree,15,3,0.75,1.5,201,gibbs,0.0018096315390610201,0.004369412733005465,0.0016947549756720288,0.0021255420883807465,1,2000,,6698.7,0.99989,2000,ve,7.1283
tree,15,3,1.0,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0085
tree,15,3,1.0,1.5,201,mf,0.05633110915957093,0.14281698605728357,0.05565353148569794,0.058194447762721625,1,17,,,,,ve,0.0092
tree,15,3,1.0,1.5,201,lbp,5.642759666006173e-08,1.9214379619325594e-07,5.4620599249352336e-08,6.139683953951258e-08,1,27,1.736295227594553e-07,,,,ve,0.0124
tree,15,3,1.0,1.5,201,gibbs,0.0018067870640585848,0.004946033026384224,0.0016513387717947193,0.002234269867784215,1,2000,,6226.3,1.0,2000,ve,6.5092
tree,15,3,1.3,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0058
tree,15,3,1.3,1.5,201,mf,0.1134329716861434,0.27340810892006273,0.11213008537358059,0.11701590904569115,1,19,,,,,ve,0.0079
tree,15,3,1.3,1.5,201,lbp,8.201415819484673e-08,4.293044737757601e-07,8.742576965905323e-08,6.71322266682789e-08,1,29,2.669831083990104e-07,,,,ve,0.0115
tree,15,3,1.3,1.5,201,gibbs,0.006326142265808044,0.011564165142652513,0.006521109093341569,0.005789983490090852,1,2000,,5557.3,1.00057,2000,ve,6.6113
tree,15,3,1.75,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0064
tree,15,3,1.75,1.5,201,mf,0.21163645416928376,0.4529788577086017,0.2077538565785334,0.22231359754384722,1,16,,,,,ve,0.0067
tree,15,3,1.75,1.5,201,lbp,7.031414415888116e-08,3.3388638308318175e-07,7.296298367901793e-08,6.302983547850499e-08,1,33,2.1343951228658398e-07,,,,ve,0.0129
tree,15,3,1.75,1.5,201,gibbs,0.011230698274742585,0.02308774007462319,0.010750404623321195,0.012551505816151408,1,2000,,4296.1,1.00103,2000,ve,6.4605
tree,15,3,2.5,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0056
tree,15,3,2.5,1.5,201,mf,0.340261918355062,0.6013881391490157,0.35929993486542067,0.2879073729515757,1,19,,,,,ve,0.0093
tree,15,3,2.5,1.5,201,lbp,1.0740814533454398e-07,4.580901687041561e-07,1.099440262246469e-07,1.0043447288676094e-07,1,36,2.856269184503546e-07,,,,ve,0.0145
tree,15,3,2.5,1.5,201,gibbs,0.04414598014900032,0.06626670733301085,0.04344204372967356,0.04608180530214893,1,2000,,2702.8,1.00232,2000,ve,7.0254
tree,15,3,4.0,1.5,201,exact,0.0,0.0,,,1,,,,,,ve,0.0098
tree,15,3,4.0,1.5,201,mf,0.5708599225900775,0.8253473275077494,0.5941681588150757,0.5067622729713328,1,6,,,,,ve,0.0035
tree,15,3,4.0,1.5,201,lbp,9.821523277690989e-08,3.422319193122775e-07,9.851207525623694e-08,9.73989159587605e-08,1,40,2.532935985399831e-07,,,,ve,0.019
tree,15,3,4.0,1.5,201,gibbs,0.15150061602194229,0.20118827138862272,0.1455927027492473,0.16774737752185348,0,2000,,169.5,1.02507,2000,ve,6.6032
tree,15,3,0.0,0.5,202,exact,0.0,0.0,,,1,,,,,,ve,0.0054
tree,15,3,0.0,0.5,202,mf,2.9513428737952077e-16,6.245004513516506e-16,2.504309890773791e-16,4.180683577104105e-16,1,1,,,,,ve,0.0006
tree,15,3,0.0,0.5,202,lbp,2.9999151311225585e-16,6.106226635438361e-16,2.608393299332399e-16,4.0766001685454967e-16,1,3,0.0,,,,ve,0.0014
tree,15,3,0.0,0.5,202,gibbs,8.041252848774623e-15,1.3378187446733136e-14,7.887629943132362e-15,8.463715839290842e-15,1,2000,,7267.1,1.00044,2000,ve,6.5785
tree,15,3,0.1,0.5,202,exact,0.0,0.0,,,1,,,,,,ve,0.0096
tree,15,3,0.1,0.5,202,mf,0.0003656871444567199,0.0008607298644992961,0.00039297320147346895,0.00029065048766066005,1,4,,,,,ve,0.0021
tree,15,3,0.1,0.5,202,lbp,9.459022412896627e-08,2.5210942566911143e-07,8.77595849477535e-08,1.1337448187730137e-07,1,17,1.579118392713852e-07,,,,ve,0.0078
tree,15,3,0.1,0.5,202,gibbs,0.00022439197545644958,0.00044519762448345587,0.00021625818458584483,0.0002467599003506127,1,2000,,7287.1,1.00066,2000,ve,6.9906
tree,15,3,0.25,0.5,202,exact,0.0,0.0,,,1,,,,,,ve,0.0054
tree,15,3,0.25,0.5,202,mf,0.0023000466667977186,0.005117990645898532,0.0024962199274802224,0.0017605701999208329,1,5,,,,,ve,0.0019
tree,15,3,0.25,0.5,202,lbp,1.2305450039264607e-07,2.688280979351587e-07,9.975330786204434e-08,1.8713277985180077e-07,1,19,2.616218682804927e-07,,,,ve,0.006
tree,15,3,0.25,0.5,202,gibbs,0.0004236033516120812,0.0011796659274649623,0.00041484330354174645,0.0004476934838055016,1,2000,,7125.0,1.00046,2000,ve,6.398
tree,15,3,0.5,0.5,202,exact,0.0,0.0,,,1,,,,,,ve,0.0058
tree,15,3,0.5,0.5,202,mf,0.00965116387636784,0.025142193407046272,0.010704663435191657,0.006754040089602349,1,8,,,,,ve,0.0037
tree,15,3,0.5,0.5,202,lbp,7.730569158981293e-08,1.162039434260409e-07,7.351019251266123e-08,8.77433140519801e-08,1,23,1.7442448541071798e-07,,,,ve,0.0082
